hover_x_pct,window_left_pct,window_right_pct,n_local,n_true_pneumoniae,n_true_mitis_oralis,real_prob_pneumoniae_pct,real_prob_mitis_oralis_pct,mean_model_probability_pct_in_window,median_model_probability_pct_in_window,min_model_probability_pct_in_window,max_model_probability_pct_in_window
45.0,42.5,47.5,47,9,38,19.148936170212767,80.85106382978722,45.01702127659575,44.800000000000004,42.6,47.4
46.0,43.5,48.5,47,10,37,21.27659574468085,78.72340425531915,45.99574468085106,46.0,43.6,48.4
47.0,44.5,49.5,44,9,35,20.454545454545457,79.54545454545455,47.03636363636364,46.9,44.6,49.4
48.0,45.5,50.5,38,8,30,21.052631578947366,78.94736842105263,47.7578947368421,48.1,45.800000000000004,50.0
49.0,46.5,51.5,35,5,30,14.285714285714285,85.71428571428571,48.58857142857142,48.4,46.6,51.2
50.0,47.5,52.5,30,5,25,16.666666666666664,83.33333333333334,49.68,49.4,48.0,52.2
51.0,48.5,53.5,24,4,20,16.666666666666664,83.33333333333334,50.625,50.8,48.6,53.400000000000006
52.0,49.5,54.5,22,3,19,13.636363636363635,86.36363636363636,52.15454545454546,52.0,49.6,54.400000000000006
53.0,50.5,55.5,24,5,19,20.833333333333336,79.16666666666666,52.99999999999999,53.2,50.8,55.00000000000001
54.0,51.5,56.5,24,8,16,33.33333333333333,66.66666666666666,54.01666666666668,54.300000000000004,51.6,56.2
55.0,52.5,57.5,22,10,12,45.45454545454545,54.54545454545454,54.872727272727275,54.800000000000004,52.6,56.99999999999999
56.0,53.5,58.5,21,12,9,57.14285714285714,42.857142857142854,55.42857142857143,55.00000000000001,53.6,57.99999999999999
57.0,54.5,59.5,21,16,5,76.19047619047619,23.809523809523807,56.84761904761905,56.599999999999994,54.6,59.4
58.0,55.5,60.5,17,14,3,82.35294117647058,17.647058823529413,57.62352941176471,57.8,55.60000000000001,60.0
59.0,56.5,61.5,17,15,2,88.23529411764706,11.76470588235294,59.14117647058823,59.0,56.599999999999994,61.199999999999996
60.0,57.5,62.5,24,20,4,83.33333333333334,16.666666666666664,60.699999999999996,61.1,57.8,62.4
61.0,58.5,63.5,27,22,5,81.48148148148148,18.51851851851852,61.355555555555554,61.8,58.599999999999994,63.4
62.0,59.5,64.5,26,22,4,84.61538461538461,15.384615384615385,62.3923076923077,62.4,60.0,64.4
63.0,60.5,65.5,33,30,3,90.9090909090909,9.090909090909092,63.096969696969694,62.8,60.6,65.4
64.0,61.5,66.5,39,33,6,84.61538461538461,15.384615384615385,64.19487179487179,64.4,61.8,66.4
65.0,62.5,67.5,37,30,7,81.08108108108108,18.91891891891892,65.34594594594596,65.60000000000001,62.8,67.4
66.0,63.5,68.5,37,30,7,81.08108108108108,18.91891891891892,65.98378378378379,66.0,63.800000000000004,68.0
67.0,64.5,69.5,40,33,7,82.5,17.5,66.815,66.60000000000001,64.60000000000001,69.39999999999999
68.0,65.5,70.5,38,30,8,78.94736842105263,21.052631578947366,67.66315789473684,67.5,65.60000000000001,70.19999999999999
69.0,66.5,71.5,36,31,5,86.11111111111111,13.88888888888889,69.04444444444444,69.0,66.60000000000001,71.39999999999999
70.0,67.5,72.5,40,38,2,95.0,5.0,70.34499999999998,70.89999999999999,67.60000000000001,72.39999999999999
71.0,68.5,73.5,50,49,1,98.0,2.0,71.42399999999999,71.6,68.60000000000001,73.4
72.0,69.5,74.5,54,52,2,96.29629629629629,3.7037037037037033,72.37407407407407,72.5,69.6,74.4
73.0,70.5,75.5,63,62,1,98.4126984126984,1.5873015873015872,73.23174603174604,73.4,70.8,75.4
74.0,71.5,76.5,77,76,1,98.7012987012987,1.2987012987012987,74.31428571428572,74.4,71.6,76.4
75.0,72.5,77.5,86,85,1,98.83720930232558,1.1627906976744187,75.29069767441861,75.6,72.6,77.4
76.0,73.5,78.5,90,89,1,98.88888888888889,1.1111111111111112,76.20222222222222,76.3,73.6,78.4
77.0,74.5,79.5,105,105,0,100.0,0.0,77.17523809523809,77.2,74.6,79.4
78.0,75.5,80.5,128,128,0,100.0,0.0,78.29531250000001,78.7,75.6,80.4
79.0,76.5,81.5,137,137,0,100.0,0.0,79.33138686131387,79.60000000000001,76.6,81.39999999999999
80.0,77.5,82.5,143,143,0,100.0,0.0,80.1846153846154,80.2,77.60000000000001,82.39999999999999
81.0,78.5,83.5,172,172,0,100.0,0.0,81.22674418604653,81.39999999999999,78.60000000000001,83.39999999999999
82.0,79.5,84.5,189,189,0,100.0,0.0,82.17248677248676,82.39999999999999,79.60000000000001,84.39999999999999
83.0,80.5,85.5,204,203,1,99.50980392156863,0.49019607843137253,83.29215686274509,83.39999999999999,80.60000000000001,85.39999999999999
84.0,81.5,86.5,215,214,1,99.53488372093024,0.46511627906976744,84.15441860465117,84.2,81.6,86.4
85.0,82.5,87.5,256,254,2,99.21875,0.78125,85.12968749999999,85.2,82.6,87.4
86.0,83.5,88.5,288,286,2,99.30555555555556,0.6944444444444444,86.27569444444444,86.6,83.6,88.4
87.0,84.5,89.5,323,320,3,99.07120743034056,0.9287925696594427,87.2532507739938,87.4,84.6,89.4
88.0,85.5,90.5,364,357,7,98.07692307692307,1.9230769230769231,88.3021978021978,88.4,85.6,90.4
89.0,86.5,91.5,416,409,7,98.3173076923077,1.6826923076923077,89.16875,89.2,86.6,91.4
90.0,87.5,92.5,450,443,7,98.44444444444444,1.5555555555555556,90.15244444444446,90.2,87.6,92.4
91.0,88.5,93.5,496,487,9,98.18548387096774,1.8145161290322582,91.2334677419355,91.4,88.6,93.4
92.0,89.5,94.5,524,516,8,98.47328244274809,1.5267175572519083,92.13969465648854,92.2,89.60000000000001,94.39999999999999
93.0,90.5,95.5,567,563,4,99.29453262786596,0.7054673721340388,93.18765432098766,93.2,90.60000000000001,95.39999999999999
94.0,91.5,96.5,606,602,4,99.33993399339934,0.6600660066006601,94.13993399339935,94.19999999999999,91.60000000000001,96.39999999999999
95.0,92.5,97.5,637,634,3,99.52904238618524,0.47095761381475665,95.07064364207221,95.19999999999999,92.60000000000001,97.39999999999999
96.0,93.5,98.5,653,652,1,99.8468606431853,0.1531393568147014,96.09647779479326,96.0,93.60000000000001,98.4
97.0,94.5,99.5,610,609,1,99.8360655737705,0.16393442622950818,96.75672131147542,96.8,94.6,99.4
98.0,95.5,100.5,479,479,0,100.0,0.0,97.28810020876827,97.2,95.6,99.8
99.0,96.5,101.5,345,345,0,100.0,0.0,97.79710144927537,97.8,96.6,99.8
100.0,97.5,102.5,212,212,0,100.0,0.0,98.29905660377358,98.2,97.6,99.8
