feature_index,importance
4885,0.0008753120316310246
1346,0.0008692397289711107
5714,0.000860056158532511
1862,0.0008566204958643032
79,0.0008200006604018229
1440,0.000810981720748414
4845,0.0008104528399821158
1540,0.0008053089933727444
3887,0.0008046867174661182
4816,0.0007935867845966946
256,0.0007915454530577992
33,0.0007728671476368409
3881,0.0007707637993630173
7535,0.0007703248907790406
3886,0.0007660634788456852
4961,0.0007627779981843342
276,0.00076100431131002
5717,0.0007579045845189563
7515,0.0007537727460013298
6261,0.0007518775059711748
5683,0.000747281997124122
2405,0.0007439901096412608
3934,0.0007394329127769461
84,0.0007361042681434956
942,0.0007344610751195062
4748,0.0007335662428660625
3882,0.0007333638204864956
3888,0.0007327648485355205
257,0.0007295310937572052
3721,0.0007204529283824011
1477,0.0007180540004873328
4663,0.0007150222318624724
946,0.0007083456491094752
1025,0.0007053663922389147
5709,0.0006949506953198346
3822,0.000693459127428133
69,0.0006929252274723754
1338,0.0006891817098002623
5721,0.0006885239720858055
64,0.0006818944314804273
4945,0.0006784284087010341
4617,0.0006651496208552677
935,0.000661231733633953
2435,0.0006577813286757447
1429,0.000652180251057584
4891,0.0006500917973454496
4751,0.0006473417204058676
3941,0.0006285884013415775
4956,0.0006262922243280662
1860,0.0006229605414327517
5726,0.000615317076111488
4632,0.0006115764199915018
1865,0.0006104484393414963
63,0.0006061621571384357
906,0.0006054538541930174
4955,0.0006002453949564817
1431,0.0006000979072914583
6265,0.0005940751308023972
4982,0.0005910649972935139
2141,0.0005890987449054354
2547,0.0005882145839447416
947,0.0005866354048889527
4744,0.0005756418155784382
4966,0.0005727367099592327
910,0.000570978604653369
1478,0.0005640600185976773
6250,0.0005596231306521449
6252,0.0005578960637431524
245,0.0005558663892815267
242,0.0005558518866527704
3013,0.0005511324606551735
6262,0.0005416208908055913
5672,0.0005410061602420874
5725,0.0005367974821916553
7497,0.0005359057981263719
1539,0.0005254981505695652
5734,0.0005209405586979999
3820,0.0005192403149430531
3893,0.0005102724834071277
6286,0.00050747469627682
2135,0.000507312630554745
2554,0.000507219837978211
4963,0.0005040512387690487
1378,0.0005022266594903027
4747,0.0004996608658577042
1855,0.0004884280457095994
6267,0.0004857459003344485
6257,0.0004816530761735928
5703,0.0004724577683190461
1543,0.0004723592810130776
4761,0.0004712420097603148
4733,0.00046341394143099705
7495,0.0004604957559203078
1537,0.0004578094852404413
1344,0.00045574127060543954
1437,0.0004554245722561534
3946,0.000450596316366254
5057,0.0004458626526193779
5707,0.0004450662060944693
3720,0.00044462403651670125
4636,0.0004340363869453388
3048,0.00043386316079056954
5708,0.00043057983325257555
2142,0.0004282433275908678
3950,0.00042809463318176907
1332,0.0004272656447585125
164,0.0004243487825820284
4759,0.0004161736454559807
4756,0.0004153441260841631
3000,0.00040220957714567446
3828,0.00040059543908237436
7518,0.00039682609334436514
5736,0.00039509657445620694
3880,0.00038697172192973784
5689,0.0003861913594806341
1430,0.0003834607172310389
1859,0.00038163194129589795
4769,0.0003811671752161776
1336,0.0003808592875554079
4613,0.0003806558116435301
4946,0.000378790990689119
1858,0.00037860491614663864
5515,0.0003766709819040592
3889,0.0003747862282434408
7566,0.0003733382358565348
7057,0.0003727531156363451
3014,0.0003724424290031862
2421,0.0003686190818139522
1380,0.0003681917711047875
1423,0.00036792214296946945
4049,0.000367742140364724
4641,0.00036108657799987744
1475,0.0003602137316571654
4670,0.000360194087701622
5731,0.0003569804923145932
6260,0.00035589943445123515
3948,0.000355532362953975
1529,0.0003547695288216666
1536,0.00035073492749141023
1317,0.00034965898845456693
3890,0.00034716071424486237
3723,0.00034450307639413236
4755,0.00034331225343317296
3933,0.00034327522073548234
5416,0.00034299343299031557
5711,0.00034212595621792974
7565,0.0003415429789225568
353,0.0003409542266024306
7492,0.00033770281600925935
4981,0.0003358721425320914
2438,0.0003329213820464676
3275,0.00033274081388817104
6384,0.00033185436550157163
5729,0.00033164498300376554
5735,0.0003314916663987899
6293,0.0003314825163204713
2452,0.00032964419531817453
2134,0.00032917625609081433
1382,0.00032895427505902147
1019,0.0003260649224057185
967,0.00032364428980478834
4668,0.00032216590879341326
6292,0.0003219596740492397
5897,0.00032150538556870525
1313,0.00032136097532245976
1322,0.0003187860752576468
5894,0.0003183190140967773
6251,0.00031827139067987676
